Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
b'13.0000',b'-144.0000',1011.9,0.0,27.8,76.0,72.0,5.0
,,1000.0,105.0,26.7,76.0,73.0,6.0
,,975.0,328.0,24.6,83.0,74.0,6.0
,,950.0,556.0,23.0,83.0,70.0,6.0
,,925.0,789.0,21.6,81.0,66.0,7.0
,,900.0,1027.0,20.2,81.0,66.0,7.0
,,850.0,1519.0,17.4,82.0,66.0,6.0
,,800.0,2035.0,14.9,76.0,70.0,6.0
,,750.0,2580.0,12.5,70.0,77.0,9.0
,,700.0,3157.0,9.7,74.0,81.0,10.0
,,650.0,3770.0,6.7,73.0,75.0,11.0
,,600.0,4423.0,3.1,62.0,70.0,13.0
,,550.0,5124.0,-0.8,51.0,63.0,15.0
,,500.0,5879.0,-5.0,41.0,68.0,15.0
,,450.0,6699.0,-9.5,28.0,80.0,16.0
,,400.0,7599.0,-15.2,24.0,91.0,19.0
,,350.0,8593.0,-22.6,44.0,76.0,18.0
,,300.0,9705.0,-30.9,53.0,68.0,23.0
,,250.0,10970.0,-41.4,70.0,68.0,25.0
,,200.0,12441.0,-54.3,92.0,65.0,29.0
,,150.0,14222.0,-68.4,100.0,74.0,29.0
,,100.0,16578.0,-76.1,31.0,84.0,16.0
b'13.0000',b'-143.0000',1011.9,0.0,27.7,79.0,43.0,8.0
,,1000.0,105.0,26.6,79.0,42.0,9.0
,,975.0,328.0,24.4,86.0,43.0,9.0
,,950.0,556.0,22.4,93.0,44.0,9.0
,,925.0,788.0,21.1,88.0,51.0,9.0
,,900.0,1026.0,19.9,85.0,57.0,9.0
,,850.0,1518.0,17.4,80.0,62.0,9.0
,,800.0,2035.0,15.2,67.0,78.0,9.0
,,750.0,2580.0,12.6,68.0,78.0,9.0
,,700.0,3157.0,9.8,70.0,75.0,10.0
,,650.0,3770.0,6.4,74.0,79.0,11.0
,,600.0,4422.0,2.7,70.0,80.0,14.0
,,550.0,5122.0,-1.1,58.0,74.0,15.0
,,500.0,5877.0,-5.0,41.0,73.0,16.0
,,450.0,6698.0,-9.5,30.0,84.0,16.0
,,400.0,7597.0,-15.2,30.0,90.0,21.0
,,350.0,8591.0,-22.7,54.0,79.0,19.0
,,300.0,9703.0,-30.8,61.0,63.0,22.0
,,250.0,10968.0,-41.3,75.0,60.0,25.0
,,200.0,12440.0,-54.3,98.0,64.0,28.0
,,150.0,14220.0,-68.4,100.0,72.0,28.0
,,100.0,16577.0,-76.1,31.0,85.0,16.0
b'13.0000',b'-142.0000',1011.9,0.0,27.2,80.0,55.0,11.0
,,1000.0,104.0,26.1,79.0,55.0,12.0
,,975.0,327.0,24.0,85.0,55.0,13.0
,,950.0,555.0,22.2,89.0,54.0,12.0
,,925.0,787.0,20.9,87.0,53.0,12.0
,,900.0,1024.0,19.7,87.0,52.0,12.0
,,850.0,1516.0,17.4,86.0,53.0,12.0
,,800.0,2034.0,15.1,85.0,56.0,11.0
,,750.0,2579.0,12.5,85.0,60.0,10.0
,,700.0,3156.0,9.6,83.0,62.0,10.0
,,650.0,3769.0,6.2,83.0,68.0,11.0
,,600.0,4421.0,2.4,83.0,78.0,14.0
,,550.0,5120.0,-1.3,75.0,80.0,15.0
,,500.0,5875.0,-5.0,58.0,72.0,15.0
,,450.0,6696.0,-9.6,49.0,78.0,16.0
,,400.0,7596.0,-15.1,45.0,80.0,23.0
,,350.0,8591.0,-22.6,69.0,70.0,20.0
,,300.0,9703.0,-30.9,74.0,60.0,21.0
,,250.0,10968.0,-41.2,71.0,55.0,26.0
,,200.0,12441.0,-54.3,96.0,60.0,25.0
,,150.0,14219.0,-68.7,100.0,70.0,28.0
,,100.0,16578.0,-76.1,31.0,87.0,15.0
b'13.0000',b'-141.0000',1011.7,0.0,27.2,82.0,67.0,15.0
,,1000.0,103.0,26.1,80.0,67.0,17.0
,,975.0,326.0,23.9,87.0,67.0,18.0
,,950.0,554.0,21.9,95.0,67.0,18.0
,,925.0,785.0,20.2,97.0,63.0,17.0
,,900.0,1023.0,19.9,84.0,50.0,14.0
,,850.0,1515.0,17.6,80.0,48.0,11.0
,,800.0,2032.0,15.5,61.0,56.0,10.0
,,750.0,2578.0,13.2,50.0,64.0,10.0
,,700.0,3155.0,10.2,53.0,72.0,11.0
,,650.0,3768.0,6.5,67.0,80.0,14.0
,,600.0,4421.0,2.7,63.0,81.0,15.0
,,550.0,5120.0,-1.0,50.0,77.0,14.0
,,500.0,5874.0,-5.1,33.0,68.0,13.0
,,450.0,6694.0,-9.5,14.0,74.0,16.0
,,400.0,7595.0,-14.8,26.0,73.0,25.0
,,350.0,8589.0,-22.6,48.0,69.0,25.0
,,300.0,9702.0,-30.6,29.0,54.0,23.0
,,250.0,10968.0,-41.1,39.0,46.0,26.0
,,200.0,12441.0,-54.3,85.0,56.0,24.0
,,150.0,14220.0,-68.8,100.0,68.0,25.0
,,100.0,16577.0,-75.9,31.0,88.0,14.0
b'13.0000',b'-140.0000',1011.7,0.0,27.2,78.0,61.0,14.0
,,1000.0,103.0,26.1,75.0,62.0,15.0
,,975.0,326.0,23.9,82.0,62.0,16.0
,,950.0,553.0,21.8,89.0,62.0,17.0
,,925.0,784.0,19.8,93.0,62.0,17.0
,,900.0,1021.0,19.5,71.0,54.0,16.0
,,850.0,1512.0,18.9,34.0,36.0,13.0
,,800.0,2030.0,16.7,23.0,49.0,11.0
,,750.0,2576.0,13.9,21.0,62.0,11.0
,,700.0,3153.0,10.8,30.0,71.0,14.0
,,650.0,3767.0,6.9,57.0,76.0,15.0
,,600.0,4420.0,3.0,50.0,75.0,15.0
,,550.0,5120.0,-0.9,30.0,77.0,14.0
,,500.0,5874.0,-5.2,19.0,76.0,14.0
,,450.0,6694.0,-9.2,7.0,76.0,18.0
,,400.0,7595.0,-14.8,22.0,67.0,24.0
,,350.0,8589.0,-22.6,32.0,66.0,26.0
,,300.0,9701.0,-30.8,19.0,56.0,23.0
,,250.0,10967.0,-41.1,34.0,44.0,26.0
,,200.0,12440.0,-54.2,86.0,59.0,22.0
,,150.0,14219.0,-68.8,100.0,65.0,24.0
,,100.0,16577.0,-75.8,29.0,84.0,13.0
b'13.0000',b'-139.0000',1011.6,0.0,27.2,78.0,52.0,12.0
,,1000.0,101.0,26.0,76.0,52.0,13.0
,,975.0,324.0,23.9,83.0,53.0,14.0
,,950.0,552.0,21.7,90.0,54.0,15.0
,,925.0,783.0,19.8,95.0,56.0,16.0
,,900.0,1019.0,19.1,80.0,59.0,18.0
,,850.0,1510.0,19.0,26.0,53.0,14.0
,,800.0,2028.0,17.1,15.0,57.0,11.0
,,750.0,2574.0,14.1,22.0,67.0,12.0
,,700.0,3152.0,10.7,34.0,69.0,14.0
,,650.0,3766.0,6.9,52.0,71.0,15.0
,,600.0,4419.0,3.0,48.0,75.0,14.0
,,550.0,5118.0,-0.6,23.0,78.0,15.0
,,500.0,5873.0,-5.1,13.0,83.0,16.0
,,450.0,6693.0,-9.2,4.0,78.0,19.0
,,400.0,7594.0,-14.9,17.0,63.0,23.0
,,350.0,8589.0,-22.5,25.0,64.0,23.0
,,300.0,9700.0,-30.9,21.0,60.0,22.0
,,250.0,10967.0,-41.0,34.0,46.0,24.0
,,200.0,12439.0,-54.1,72.0,67.0,23.0
,,150.0,14219.0,-68.8,100.0,64.0,23.0
,,100.0,16576.0,-75.7,29.0,84.0,11.0
b'13.0000',b'-138.0000',1011.3,0.0,27.2,79.0,43.0,11.0
,,1000.0,99.0,26.2,77.0,44.0,13.0
,,975.0,322.0,24.0,84.0,45.0,13.0
,,950.0,549.0,21.9,91.0,46.0,14.0
,,925.0,781.0,20.2,92.0,53.0,14.0
,,900.0,1018.0,19.5,79.0,64.0,14.0
,,850.0,1509.0,18.8,35.0,75.0,11.0
,,800.0,2027.0,16.4,30.0,71.0,10.0
,,750.0,2573.0,13.5,44.0,73.0,12.0
,,700.0,3151.0,10.6,49.0,71.0,15.0
,,650.0,3764.0,7.1,56.0,68.0,16.0
,,600.0,4418.0,3.0,62.0,74.0,14.0
,,550.0,5118.0,-0.9,48.0,82.0,15.0
,,500.0,5873.0,-5.0,28.0,84.0,16.0
,,450.0,6693.0,-9.5,14.0,79.0,19.0
,,400.0,7593.0,-15.0,15.0,63.0,23.0
,,350.0,8588.0,-22.3,23.0,63.0,23.0
,,300.0,9700.0,-30.9,26.0,60.0,21.0
,,250.0,10966.0,-41.1,39.0,49.0,23.0
,,200.0,12439.0,-54.2,81.0,76.0,24.0
,,150.0,14219.0,-68.7,100.0,63.0,23.0
,,100.0,16575.0,-75.7,32.0,87.0,10.0
b'13.0000',b'-137.0000',1011.0,0.0,27.2,82.0,37.0,11.0
,,1000.0,96.0,26.2,81.0,37.0,12.0
,,975.0,319.0,24.0,88.0,37.0,13.0
,,950.0,547.0,21.9,95.0,37.0,14.0
,,925.0,779.0,20.9,90.0,41.0,14.0
,,900.0,1016.0,19.8,88.0,48.0,12.0
,,850.0,1508.0,17.5,84.0,66.0,10.0
,,800.0,2026.0,15.2,79.0,73.0,11.0
,,750.0,2572.0,13.0,75.0,76.0,13.0
,,700.0,3150.0,10.2,75.0,74.0,15.0
,,650.0,3763.0,6.9,76.0,73.0,16.0
,,600.0,4417.0,2.9,78.0,78.0,16.0
,,550.0,5117.0,-1.1,73.0,85.0,17.0
,,500.0,5872.0,-5.1,58.0,89.0,17.0
,,450.0,6693.0,-9.8,43.0,79.0,20.0
,,400.0,7592.0,-15.3,30.0,64.0,22.0
,,350.0,8586.0,-22.4,29.0,59.0,22.0
,,300.0,9698.0,-30.9,23.0,56.0,22.0
,,250.0,10965.0,-41.0,31.0,56.0,22.0
,,200.0,12438.0,-54.0,95.0,86.0,25.0
,,150.0,14218.0,-68.7,99.0,67.0,25.0
,,100.0,16573.0,-75.7,34.0,85.0,10.0
b'13.0000',b'-136.0000',1010.7,0.0,27.5,79.0,52.0,12.0
,,1000.0,94.0,26.4,77.0,53.0,13.0
,,975.0,317.0,24.4,83.0,54.0,14.0
,,950.0,545.0,22.7,86.0,57.0,15.0
,,925.0,778.0,21.4,83.0,65.0,16.0
,,900.0,1015.0,20.1,85.0,69.0,15.0
,,850.0,1508.0,17.6,86.0,70.0,12.0
,,800.0,2025.0,15.2,85.0,76.0,11.0
,,750.0,2571.0,12.8,83.0,80.0,11.0
,,700.0,3149.0,9.9,83.0,81.0,13.0
,,650.0,3762.0,6.6,84.0,82.0,15.0
,,600.0,4416.0,2.9,85.0,85.0,15.0
,,550.0,5116.0,-1.2,83.0,92.0,14.0
,,500.0,5871.0,-5.2,72.0,90.0,13.0
,,450.0,6692.0,-9.8,64.0,72.0,18.0
,,400.0,7592.0,-15.2,59.0,58.0,23.0
,,350.0,8587.0,-22.4,65.0,57.0,22.0
,,300.0,9699.0,-31.1,79.0,57.0,20.0
,,250.0,10965.0,-41.0,94.0,58.0,19.0
,,200.0,12440.0,-53.8,100.0,80.0,21.0
,,150.0,14219.0,-69.1,98.0,70.0,25.0
,,100.0,16573.0,-75.6,33.0,90.0,9.0
b'13.0000',b'-135.0000',1010.5,0.0,27.7,80.0,60.0,12.0
,,1000.0,92.0,26.8,78.0,61.0,13.0
,,975.0,316.0,24.6,84.0,62.0,14.0
,,950.0,544.0,22.6,90.0,64.0,14.0
,,925.0,776.0,21.4,85.0,73.0,13.0
,,900.0,1014.0,20.2,83.0,77.0,11.0
,,850.0,1506.0,18.0,82.0,79.0,9.0
,,800.0,2025.0,15.6,81.0,84.0,9.0
,,750.0,2571.0,12.9,82.0,88.0,10.0
,,700.0,3149.0,9.8,83.0,90.0,12.0
,,650.0,3762.0,6.5,85.0,93.0,13.0
,,600.0,4416.0,2.9,85.0,98.0,13.0
,,550.0,5116.0,-1.1,84.0,107.0,12.0
,,500.0,5871.0,-5.4,78.0,95.0,12.0
,,450.0,6692.0,-9.6,64.0,71.0,15.0
,,400.0,7592.0,-15.4,60.0,56.0,22.0
,,350.0,8586.0,-22.4,67.0,55.0,23.0
,,300.0,9699.0,-31.1,89.0,59.0,22.0
,,250.0,10964.0,-41.0,100.0,61.0,17.0
,,200.0,12440.0,-53.6,100.0,76.0,20.0
,,150.0,14219.0,-69.2,99.0,72.0,25.0
,,100.0,16573.0,-75.5,32.0,93.0,7.0
b'13.0000',b'-134.0000',1010.4,0.0,27.9,79.0,60.0,10.0
,,1000.0,91.0,27.0,76.0,60.0,11.0
,,975.0,315.0,24.9,82.0,62.0,12.0
,,950.0,543.0,23.0,85.0,67.0,12.0
,,925.0,776.0,21.7,81.0,80.0,11.0
,,900.0,1014.0,20.2,83.0,85.0,9.0
,,850.0,1506.0,17.9,84.0,88.0,9.0
,,800.0,2024.0,15.6,82.0,93.0,9.0
,,750.0,2571.0,12.8,84.0,100.0,10.0
,,700.0,3149.0,9.7,86.0,102.0,10.0
,,650.0,3762.0,6.6,86.0,101.0,11.0
,,600.0,4416.0,3.0,84.0,107.0,11.0
,,550.0,5116.0,-1.2,86.0,114.0,10.0
,,500.0,5871.0,-5.6,84.0,96.0,12.0
,,450.0,6691.0,-9.8,74.0,64.0,15.0
,,400.0,7591.0,-15.5,72.0,49.0,21.0
,,350.0,8585.0,-22.5,86.0,49.0,21.0
,,300.0,9698.0,-30.7,99.0,57.0,19.0
,,250.0,10965.0,-40.9,100.0,66.0,16.0
,,200.0,12439.0,-53.8,100.0,74.0,18.0
,,150.0,14217.0,-69.7,100.0,74.0,24.0
,,100.0,16573.0,-75.1,30.0,122.0,7.0
b'13.0000',b'-133.0000',1010.3,0.0,28.0,77.0,66.0,10.0
,,1000.0,90.0,27.2,73.0,67.0,11.0
,,975.0,314.0,25.2,76.0,69.0,12.0
,,950.0,543.0,23.8,75.0,80.0,11.0
,,925.0,776.0,22.2,78.0,94.0,10.0
,,900.0,1014.0,20.6,81.0,102.0,9.0
,,850.0,1507.0,17.6,87.0,99.0,9.0
,,800.0,2024.0,15.4,87.0,96.0,10.0
,,750.0,2571.0,12.9,86.0,100.0,10.0
,,700.0,3149.0,9.9,86.0,109.0,10.0
,,650.0,3762.0,6.5,87.0,115.0,10.0
,,600.0,4416.0,2.9,86.0,115.0,10.0
,,550.0,5116.0,-1.3,88.0,113.0,10.0
,,500.0,5871.0,-5.8,91.0,92.0,8.0
,,450.0,6690.0,-10.3,88.0,52.0,13.0
,,400.0,7588.0,-16.0,94.0,45.0,20.0
,,350.0,8582.0,-22.3,100.0,56.0,18.0
,,300.0,9697.0,-30.4,99.0,72.0,13.0
,,250.0,10964.0,-40.9,100.0,63.0,12.0
,,200.0,12439.0,-53.7,100.0,70.0,15.0
,,150.0,14217.0,-69.9,100.0,71.0,24.0
,,100.0,16573.0,-74.6,25.0,121.0,9.0
b'13.0000',b'-132.0000',1010.1,0.0,27.9,77.0,71.0,11.0
,,1000.0,89.0,27.2,72.0,72.0,12.0
,,975.0,313.0,25.5,73.0,74.0,13.0
,,950.0,542.0,24.1,72.0,88.0,12.0
,,925.0,775.0,22.5,76.0,98.0,11.0
,,900.0,1014.0,21.0,79.0,102.0,11.0
,,850.0,1507.0,17.9,85.0,103.0,10.0
,,800.0,2025.0,15.2,88.0,103.0,10.0
,,750.0,2571.0,12.6,89.0,107.0,10.0
,,700.0,3149.0,9.7,88.0,114.0,11.0
,,650.0,3762.0,6.6,85.0,120.0,11.0
,,600.0,4416.0,3.2,81.0,125.0,10.0
,,550.0,5117.0,-1.2,88.0,119.0,8.0
,,500.0,5871.0,-6.0,98.0,93.0,6.0
,,450.0,6690.0,-10.6,99.0,71.0,8.0
,,400.0,7587.0,-16.0,99.0,56.0,11.0
,,350.0,8581.0,-22.5,100.0,57.0,12.0
,,300.0,9694.0,-30.6,99.0,60.0,12.0
,,250.0,10962.0,-40.7,100.0,62.0,9.0
,,200.0,12439.0,-53.4,100.0,65.0,12.0
,,150.0,14218.0,-69.9,100.0,69.0,20.0
,,100.0,16572.0,-74.8,26.0,115.0,11.0
b'13.0000',b'-131.0000',1010.0,0.0,27.9,78.0,97.0,9.0
,,1000.0,88.0,27.2,72.0,97.0,11.0
,,975.0,312.0,25.7,72.0,99.0,12.0
,,950.0,541.0,24.2,73.0,105.0,11.0
,,925.0,775.0,22.8,76.0,109.0,10.0
,,900.0,1013.0,21.2,79.0,109.0,9.0
,,850.0,1507.0,18.1,86.0,108.0,8.0
,,800.0,2025.0,15.2,90.0,109.0,9.0
,,750.0,2572.0,12.6,90.0,113.0,10.0
,,700.0,3149.0,9.8,88.0,121.0,10.0
,,650.0,3763.0,6.8,83.0,129.0,11.0
,,600.0,4417.0,3.2,82.0,130.0,11.0
,,550.0,5118.0,-1.3,89.0,119.0,8.0
,,500.0,5872.0,-6.1,98.0,86.0,7.0
,,450.0,6690.0,-10.9,99.0,75.0,10.0
,,400.0,7587.0,-16.0,98.0,53.0,10.0
,,350.0,8580.0,-22.5,100.0,54.0,11.0
,,300.0,9694.0,-30.6,99.0,65.0,11.0
,,250.0,10962.0,-40.7,100.0,69.0,8.0
,,200.0,12439.0,-53.3,100.0,55.0,11.0
,,150.0,14220.0,-69.7,100.0,81.0,17.0
,,100.0,16573.0,-75.4,34.0,116.0,15.0
b'13.0000',b'-130.0000',1010.1,0.0,27.8,80.0,120.0,7.0
,,1000.0,89.0,26.9,78.0,121.0,8.0
,,975.0,313.0,24.8,84.0,121.0,8.0
,,950.0,541.0,23.2,84.0,120.0,9.0
,,925.0,774.0,21.7,84.0,115.0,10.0
,,900.0,1012.0,20.4,85.0,110.0,10.0
,,850.0,1505.0,18.0,87.0,110.0,10.0
,,800.0,2024.0,15.9,85.0,114.0,9.0
,,750.0,2571.0,13.4,81.0,123.0,8.0
,,700.0,3150.0,10.4,78.0,135.0,8.0
,,650.0,3764.0,6.9,78.0,135.0,8.0
,,600.0,4418.0,3.1,78.0,131.0,8.0
,,550.0,5119.0,-1.2,82.0,116.0,10.0
,,500.0,5873.0,-5.9,92.0,86.0,8.0
,,450.0,6691.0,-11.1,96.0,52.0,6.0
,,400.0,7587.0,-16.1,85.0,48.0,11.0
,,350.0,8581.0,-22.1,67.0,49.0,12.0
,,300.0,9695.0,-30.6,79.0,68.0,10.0
,,250.0,10962.0,-41.0,95.0,69.0,7.0
,,200.0,12437.0,-53.3,97.0,57.0,9.0
,,150.0,14221.0,-69.3,100.0,83.0,11.0
,,100.0,16576.0,-75.6,35.0,119.0,15.0
b'13.0000',b'-129.0000',1010.2,0.0,27.6,81.0,173.0,4.0
,,1000.0,90.0,26.6,81.0,173.0,5.0
,,975.0,314.0,24.5,89.0,171.0,5.0
,,950.0,542.0,23.0,87.0,151.0,4.0
,,925.0,774.0,21.8,84.0,119.0,4.0
,,900.0,1012.0,20.5,84.0,113.0,5.0
,,850.0,1506.0,17.9,87.0,118.0,7.0
,,800.0,2024.0,15.7,85.0,122.0,7.0
,,750.0,2571.0,13.7,75.0,129.0,7.0
,,700.0,3151.0,10.8,70.0,131.0,6.0
,,650.0,3766.0,7.2,70.0,122.0,7.0
,,600.0,4420.0,3.1,70.0,110.0,8.0
,,550.0,5120.0,-1.2,68.0,95.0,8.0
,,500.0,5874.0,-5.8,65.0,90.0,9.0
,,450.0,6691.0,-10.9,79.0,88.0,8.0
,,400.0,7587.0,-16.2,88.0,50.0,8.0
,,350.0,8581.0,-22.2,75.0,41.0,10.0
,,300.0,9695.0,-30.7,81.0,79.0,9.0
,,250.0,10962.0,-41.0,85.0,65.0,10.0
,,200.0,12436.0,-53.6,95.0,72.0,11.0
,,150.0,14217.0,-69.4,100.0,89.0,13.0
,,100.0,16577.0,-75.7,36.0,102.0,12.0
b'13.0000',b'-128.0000',1010.2,0.0,27.5,82.0,205.0,7.0
,,1000.0,90.0,26.6,82.0,205.0,8.0
,,975.0,314.0,24.5,88.0,205.0,8.0
,,950.0,542.0,23.2,83.0,201.0,6.0
,,925.0,775.0,22.0,81.0,180.0,3.0
,,900.0,1013.0,20.7,83.0,143.0,3.0
,,850.0,1506.0,17.9,86.0,123.0,5.0
,,800.0,2024.0,15.9,82.0,127.0,7.0
,,750.0,2572.0,13.7,75.0,128.0,7.0
,,700.0,3152.0,10.7,70.0,122.0,6.0
,,650.0,3766.0,7.1,71.0,104.0,6.0
,,600.0,4420.0,3.1,75.0,88.0,7.0
,,550.0,5120.0,-1.4,77.0,83.0,9.0
,,500.0,5874.0,-6.2,74.0,82.0,10.0
,,450.0,6691.0,-10.8,60.0,85.0,12.0
,,400.0,7587.0,-15.8,55.0,69.0,9.0
,,350.0,8581.0,-22.6,69.0,37.0,8.0
,,300.0,9693.0,-30.7,60.0,83.0,11.0
,,250.0,10960.0,-40.8,76.0,67.0,12.0
,,200.0,12436.0,-53.6,100.0,82.0,12.0
,,150.0,14216.0,-69.5,100.0,97.0,15.0
,,100.0,16578.0,-75.6,35.0,107.0,11.0
b'13.0000',b'-127.0000',1010.3,0.0,27.5,81.0,172.0,7.0
,,1000.0,91.0,26.6,79.0,172.0,8.0
,,975.0,314.0,24.8,82.0,174.0,8.0
,,950.0,543.0,23.7,78.0,178.0,7.0
,,925.0,776.0,22.5,76.0,179.0,6.0
,,900.0,1014.0,21.2,78.0,180.0,4.0
,,850.0,1508.0,18.2,83.0,162.0,3.0
,,800.0,2027.0,15.8,82.0,131.0,5.0
,,750.0,2574.0,13.1,77.0,120.0,9.0
,,700.0,3152.0,10.0,76.0,111.0,10.0
,,650.0,3765.0,6.8,77.0,100.0,10.0
,,600.0,4419.0,3.1,74.0,94.0,10.0
,,550.0,5120.0,-1.0,58.0,90.0,10.0
,,500.0,5874.0,-5.5,38.0,82.0,10.0
,,450.0,6692.0,-10.8,30.0,74.0,11.0
,,400.0,7587.0,-16.0,26.0,68.0,12.0
,,350.0,8579.0,-22.7,19.0,65.0,11.0
,,300.0,9692.0,-30.4,23.0,67.0,10.0
,,250.0,10960.0,-40.7,45.0,82.0,11.0
,,200.0,12436.0,-53.5,93.0,104.0,12.0
,,150.0,14217.0,-69.5,100.0,91.0,14.0
,,100.0,16578.0,-75.2,37.0,108.0,13.0
b'13.0000',b'-126.0000',1010.6,0.0,27.4,80.0,190.0,5.0
,,1000.0,93.0,26.5,80.0,190.0,6.0
,,975.0,317.0,24.4,87.0,189.0,6.0
,,950.0,545.0,22.4,93.0,182.0,5.0
